CHAMP;CODE;DESIGNATION;LIBELLE;REFINTENG;TYPE;VALEURACTUEL
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2023;Erreur;2023
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1923;Erreur;1923
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2200;Erreur;2200
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1883;Erreur;1883
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1776;Erreur;1776
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2000;Erreur;2000
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2171;Erreur;2171
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1955;Erreur;1955
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1969;Erreur;1969
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1497;Erreur;1497
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2209;Erreur;2209
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2111;Erreur;2111
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2213;Erreur;2213
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1927;Erreur;1927
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2145;Erreur;2145
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2103;Erreur;2103
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2002;Erreur;2002
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2152;Erreur;2152
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2001;Erreur;2001
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1933;Erreur;1933
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2178;Erreur;2178
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1920;Erreur;1920
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2201;Erreur;2201
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2132;Erreur;2132
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1930;Erreur;1930
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2125;Erreur;2125
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1929;Erreur;1929
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1996;Erreur;1996
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2010;Erreur;2010
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1988;Erreur;1988
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2068;Erreur;2068
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2153;Erreur;2153
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1910;Erreur;1910
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2051;Erreur;2051
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2187;Erreur;2187
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1890;Erreur;1890
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2029;Erreur;2029
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1938;Erreur;1938
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1857;Erreur;1857
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2075;Erreur;2075
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2179;Erreur;2179
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2049;Erreur;2049
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2362;Erreur;2362
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1975;Erreur;1975
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2382;Erreur;2382
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1745;Erreur;1745
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2269;Erreur;2269
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2324;Erreur;2324
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1931;Erreur;1931
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2447;Erreur;2447
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2477;Erreur;2477
