CHAMP;CODE;DESIGNATION;IDINTBEN;LIBELLE;REFINTENG;TYPE;VALEURACTUEL
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;32100009382;Donnée inexistante dans le référentiel;540858;Erreur;32100009382
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;71500347703;Donnée inexistante dans le référentiel;540859;Erreur;71500347703
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;32100225323;Donnée inexistante dans le référentiel;540855;Erreur;32100225323
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;32100007116;Donnée inexistante dans le référentiel;540870;Erreur;32100007116
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80300226258;Donnée inexistante dans le référentiel;540846;Erreur;80300226258
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;70100013148;Donnée inexistante dans le référentiel;540847;Erreur;70100013148
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;60400015439;Donnée inexistante dans le référentiel;540848;Erreur;60400015439
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80300226235;Donnée inexistante dans le référentiel;540838;Erreur;80300226235
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80200130526;Donnée inexistante dans le référentiel;540845;Erreur;80200130526
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;95800008182;Donnée inexistante dans le référentiel;540852;Erreur;95800008182
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80200007976;Donnée inexistante dans le référentiel;540839;Erreur;80200007976
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;32100354517;Donnée inexistante dans le référentiel;540850;Erreur;32100354517
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42400204285;Donnée inexistante dans le référentiel;540841;Erreur;42400204285
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80200181778;Donnée inexistante dans le référentiel;540854;Erreur;80200181778
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;51300008292;Donnée inexistante dans le référentiel;540810;Erreur;51300008292
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;95800352245;Donnée inexistante dans le référentiel;540844;Erreur;95800352245
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;70400000024;Donnée inexistante dans le référentiel;540835;Erreur;70400000024
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;70100013151;Donnée inexistante dans le référentiel;540849;Erreur;70100013151
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;61200006895;Donnée inexistante dans le référentiel;540836;Erreur;61200006895
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;70100156486;Donnée inexistante dans le référentiel;540857;Erreur;70100156486
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;70400166934;Donnée inexistante dans le référentiel;540828;Erreur;70400166934
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;32200300645;Donnée inexistante dans le référentiel;540851;Erreur;32200300645
