"actif";"code";"nom";"participant";"libelle"
"false";"021";"CRG-SA";"GN/101";"MADINA OULA"
"false";"022";"CRG-SA";"GN/101";"MISSIRA"
"false";"023";"CRG-SA";"GN/101";"WENDOU MBOUR"
"false";"024";"CRG-SA";"GN/101";"SANGAREDI"
"false";"025";"CRG-SA";"GN/101";"BOFFA"
"false";"026";"CRG-SA";"GN/101";"DOUPROU"
"false";"027";"CRG-SA";"GN/101";"KOLIA"
"false";"028";"CRG-SA";"GN/101";"KOUKOUDE"
"false";"029";"CRG-SA";"GN/101";"TOUGNIFILY"
"false";"030";"CRG-SA";"GN/101";"BINTIMODIA"
"false";"031";"CRG-SA";"GN/101";"BOKE"
"false";"032";"CRG-SA";"GN/101";"KOLABOUI"
"false";"033";"CRG-SA";"GN/101";"KAMSAR"
"false";"034";"CRG-SA";"GN/101";"MANKOUNTAN"
"false";"035";"CRG-SA";"GN/101";"TANENE"
"false";"036";"CRG-SA";"GN/101";"KOBA"
"false";"037";"CRG-SA";"GN/101";"FRIA"
"false";"038";"CRG-SA";"GN/101";"TELIMELE"
"false";"039";"CRG-SA";"GN/101";"TARIHOYE"
"false";"040";"CRG-SA";"GN/101";"SANGAREYAH"
"false";"041";"CRG-SA";"GN/101";"SINTA"
"false";"042";"CRG-SA";"GN/101";"LEYMIRO"
"false";"043";"CRG-SA";"GN/101";"LABE"
"false";"044";"CRG-SA";"GN/101";"SANNOU"
"false";"045";"CRG-SA";"GN/101";"KOURAMANGUI"
"false";"046";"CRG-SA";"GN/101";"LELOUMA"
"false";"047";"CRG-SA";"GN/101";"DIOUNTOU"
"false";"048";"CRG-SA";"GN/101";"MALI"
"false";"049";"CRG-SA";"GN/101";"YIMBERING"
"false";"050";"CRG-SA";"GN/101";"POPODARA"
"false";"051";"CRG-SA";"GN/101";"T BORI"
"false";"052";"CRG-SA";"GN/101";"PITA"
"false";"053";"CRG-SA";"GN/101";"TIMBI-TOUNNI"
"false";"054";"CRG-SA";"GN/101";"DONGHOL TOUMA"
"false";"055";"CRG-SA";"GN/101";"TIMBI-MADINA"
"false";"056";"CRG-SA";"GN/101";"TOUGUE"
"false";"057";"CRG-SA";"GN/101";"KOUBIA"
"false";"058";"CRG-SA";"GN/101";"KONAH"
"false";"059";"CRG-SA";"GN/101";"KOIN"
"false";"060";"CRG-SA";"GN/101";"KANAKALABE"
"false";"061";"CRG-SA";"GN/101";"GAOUAL"
"false";"062";"CRG-SA";"GN/101";"KAKONI"
"false";"063";"CRG-SA";"GN/101";"KOUMBIA"
"false";"064";"CRG-SA";"GN/101";"TOUBA"
"false";"065";"CRG-SA";"GN/101";"KOUNDARA"
"false";"066";"CRG-SA";"GN/101";"SAREBOIDO"
"false";"067";"CRG-SA";"GN/101";"TERMESSE"
"false";"068";"CRG-SA";"GN/101";"dounet"
"false";"069";"CRG-SA";"GN/101";"mamou"
"false";"070";"CRG-SA";"GN/101";"linsan"
"false";"071";"CRG-SA";"GN/101";"ourekaba"
"false";"072";"CRG-SA";"GN/101";"saramoussaya"
"false";"073";"CRG-SA";"GN/101";"DALABA"
"false";"074";"CRG-SA";"GN/101";"DITINN"
"false";"075";"CRG-SA";"GN/101";"POREDAKA"
"false";"076";"CRG-SA";"GN/101";"GONGORE"
"false";"077";"CRG-SA";"GN/101";"KANKAN"
"false";"078";"CRG-SA";"GN/101";"MORIBAYA"
"false";"079";"CRG-SA";"GN/101";"MISSAMANA"
"false";"080";"CRG-SA";"GN/101";"BATE-NAFADJI"
"false";"081";"CRG-SA";"GN/101";"TINTIOULEN"
"false";"082";"CRG-SA";"GN/101";"MANDIANA"
"false";"083";"CRG-SA";"GN/101";"S/BARANAMA"
"false";"084";"CRG-SA";"GN/101";"OUROLA"
"false";"085";"CRG-SA";"GN/101";"MORODOU"
"false";"086";"CRG-SA";"GN/101";"KANTOUMANINA"
"false";"087";"CRG-SA";"GN/101";"NIANTANINA"
"false";"088";"CRG-SA";"GN/101";"KIIERAN"
"false";"089";"CRG-SA";"GN/101";"DIALAKORO"
"false";"090";"CRG-SA";"GN/101";"BALANDOUGOUBA"
"false";"091";"CRG-SA";"GN/101";"KOUNDIAN"
"false";"092";"CRG-SA";"GN/101";"KONDIANAKORO"
"false";"093";"CRG-SA";"GN/101";"LOILA"
"false";"094";"CRG-SA";"GN/101";"Kouroussa"
"false";"095";"CRG-SA";"GN/101";"Koumana"
"false";"096";"CRG-SA";"GN/101";"Kignero"
"false";"097";"CRG-SA";"GN/101";"Banfele"
"false";"098";"CRG-SA";"GN/101";"Saraya"
"false";"099";"CRG-SA";"GN/101";"Kaboukaria"
"false";"100";"CRG-SA";"GN/101";"Komola"
"false";"101";"CRG-SA";"GN/101";"KEROUANE"
"false";"102";"CRG-SA";"GN/101";"BANANKORO"
"false";"103";"CRG-SA";"GN/101";"DAMARO"
"false";"104";"CRG-SA";"GN/101";"KOMOUDOU"
"false";"105";"CRG-SA";"GN/101";"SIGUIRI"
"false";"106";"CRG-SA";"GN/101";"DOKO"
"false";"107";"CRG-SA";"GN/101";"KOUREMALE"
"false";"108";"CRG-SA";"GN/101";"NIANDANKÖRÖ"
"false";"109";"CRG-SA";"GN/101";"NORASSOBA"
"false";"110";"CRG-SA";"GN/101";"NOUNKOUNKAN"
"false";"111";"CRG-SA";"GN/101";"MALEAH"
"false";"112";"CRG-SA";"GN/101";"SIGUIRINI"
"false";"113";"CRG-SA";"GN/101";"FRANWALIAH"
"false";"114";"CRG-SA";"GN/101";"KINTINIAN"
"false";"115";"CRG-SA";"GN/101";"FARANAH"
"false";"116";"CRG-SA";"GN/101";"MARELLA"
"false";"117";"CRG-SA";"GN/101";"SANDENIA"
"false";"118";"CRG-SA";"GN/101";"TIRO"
"false";"119";"CRG-SA";"GN/101";"BANIAN"
"false";"120";"CRG-SA";"GN/101";"KOBIKORO"
"false";"121";"CRG-SA";"GN/101";"HEREMAKONO"
"false";"122";"CRG-SA";"GN/101";"SONGOYAH"
"false";"123";"CRG-SA";"GN/101";"KISSIDOUGOU"
"false";"124";"CRG-SA";"GN/101";"SANGARDO"
"false";"125";"CRG-SA";"GN/101";"ALBADARIAH"
"false";"126";"CRG-SA";"GN/101";"KONDIADOU"
"false";"127";"CRG-SA";"GN/101";"DANDOU"
"false";"128";"CRG-SA";"GN/101";"BARDOU"
"false";"129";"CRG-SA";"GN/101";"FERMESSADOU"
"false";"130";"CRG-SA";"GN/101";"KASSADOU"
"false";"131";"CRG-SA";"GN/101";"YENDE"
"false";"132";"CRG-SA";"GN/101";"YOMBIRO"
"false";"133";"CRG-SA";"GN/101";"TOKOUNOU"
"false";"134";"CRG-SA";"GN/101";"ARFAMOUSSAYA"
"false";"135";"CRG-SA";"GN/101";"BANKO"
"false";"136";"CRG-SA";"GN/101";"BISSIKIRIMA"
"false";"137";"CRG-SA";"GN/101";"DABOLA"
"false";"138";"CRG-SA";"GN/101";"DOGOMET"
"false";"139";"CRG-SA";"GN/101";"DINGUIRAYE ET MBONET"
"false";"140";"CRG-SA";"GN/101";"DIALAKORO"
"false";"141";"CRG-SA";"GN/101";"KALINKO"
"false";"142";"CRG-SA";"GN/101";"BEYLA"
"false";"143";"CRG-SA";"GN/101";"MORIBADOU"
"false";"144";"CRG-SA";"GN/101";"BOOLA"
"false";"145";"CRG-SA";"GN/101";"SINKO"
"false";"146";"CRG-SA";"GN/101";"FOUALAH"
"false";"147";"CRG-SA";"GN/101";"GBESSOBA"
"false";"148";"CRG-SA";"GN/101";"GBACKEDOU"
"false";"149";"CRG-SA";"GN/101";"YOMOU"
"false";"150";"CRG-SA";"GN/101";"PELA"
"false";"151";"CRG-SA";"GN/101";"DIECKE"
"false";"152";"CRG-SA";"GN/101";"BIGNAMOU"
"false";"153";"CRG-SA";"GN/101";"BOWE"
"false";"154";"CRG-SA";"GN/101";"LOLA"
"false";"155";"CRG-SA";"GN/101";"GAMABEREMA"
"false";"156";"CRG-SA";"GN/101";"LAINE"
"false";"157";"CRG-SA";"GN/101";"TOUNKARATA"
"false";"158";"CRG-SA";"GN/101";"KOKOTA"
"false";"159";"CRG-SA";"GN/101";"NZOO"
